Report Date,Health District,Age Group,Number of Cases,Number of Hospitalizations,Number of Deaths
7/19/20,Pittsylvania-Danville,Missing,0,0,0
7/19/20,Chesterfield,60-69,322,51,12
7/19/20,Southside,19-Oct,17,0,0
7/19/20,New River,80+,13,4,2
7/19/20,Central Virginia,50-59,90,2,2
7/19/20,Hampton,70-79,36,8,0
7/19/20,Pittsylvania-Danville,19-Oct,27,0,0
7/19/20,Richmond,60-69,222,53,7
7/19/20,Chickahominy,40-49,105,12,1
7/19/20,Three Rivers,80+,40,8,4
7/19/20,Rappahannock,30-39,528,25,0
7/19/20,Lord Fairfax,60-69,250,52,14
7/19/20,Western Tidewater,0-9,20,0,0
7/19/20,Rappahannock,70-79,119,35,15
7/19/20,Prince William,80+,244,82,74
7/19/20,Hampton,80+,16,2,1
7/19/20,Alexandria,80+,94,28,25
7/19/20,Mount Rogers,60-69,116,12,0
7/19/20,Eastern Shore,60-69,179,29,8
7/19/20,Lord Fairfax,70-79,150,44,17
7/19/20,New River,30-39,37,1,0
7/19/20,Chesapeake,19-Oct,104,1,0
7/19/20,Hampton,40-49,105,6,0
7/19/20,Peninsula,Missing,18,0,0
