County,WeekStartDate,Deaths,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,Positive UnkAge,dtm_updated
Island County,2020-03-08,1,0,0,0,0,1,0,2020/07/12 15:04:56
Island County,2020-03-15,2,0,0,0,0,2,0,2020/07/12 15:04:56
Island County,2020-03-22,7,0,0,0,3,4,0,2020/07/12 15:04:56
Island County,2020-04-19,1,0,0,0,0,1,0,2020/07/12 15:04:56
Island County,2020-05-03,1,0,0,1,0,0,0,2020/07/12 15:04:56
King County,2020-02-16,9,0,0,2,4,3,0,2020/07/12 15:04:56
King County,2020-02-23,28,0,0,2,14,12,0,2020/07/12 15:04:56
King County,2020-03-01,45,0,0,2,25,18,0,2020/07/12 15:04:56
King County,2020-03-08,67,0,0,5,24,38,0,2020/07/12 15:04:56
King County,2020-03-15,82,0,1,6,30,45,0,2020/07/12 15:04:56
King County,2020-03-22,100,0,1,8,28,63,0,2020/07/12 15:04:56
King County,2020-03-29,71,0,1,7,24,39,0,2020/07/12 15:04:56
King County,2020-04-05,49,0,0,3,19,27,0,2020/07/12 15:04:56
King County,2020-04-12,49,0,1,7,21,20,0,2020/07/12 15:04:56
King County,2020-04-19,35,0,0,3,14,18,0,2020/07/12 15:04:56
King County,2020-04-26,27,0,0,2,9,16,0,2020/07/12 15:04:56
King County,2020-05-03,18,0,1,0,4,13,0,2020/07/12 15:04:56
King County,2020-05-10,12,0,0,1,6,5,0,2020/07/12 15:04:56
King County,2020-05-17,9,0,0,0,3,6,0,2020/07/12 15:04:56
King County,2020-05-24,8,0,0,1,4,3,0,2020/07/12 15:04:56
King County,2020-05-31,9,0,1,1,3,4,0,2020/07/12 15:04:56
King County,2020-06-07,4,0,0,0,1,3,0,2020/07/12 15:04:56
King County,2020-06-14,3,0,0,0,1,2,0,2020/07/12 15:04:56
King County,2020-06-21,3,0,0,0,1,2,0,2020/07/12 15:04:56
King County,2020-06-28,6,0,0,0,0,6,0,2020/07/12 15:04:56
King County,2020-07-05,3,0,2,0,0,1,0,2020/07/12 15:04:56
Kitsap County,2020-03-22,1,0,0,0,0,1,0,2020/07/12 15:04:56
Kitsap County,2020-03-29,1,0,0,0,1,0,0,2020/07/12 15:04:56
Klickitat County,2020-03-15,1,0,0,0,1,0,0,2020/07/12 15:04:56
Klickitat County,2020-03-22,1,0,0,0,0,1,0,2020/07/12 15:04:56
Klickitat County,2020-04-05,1,0,0,0,0,1,0,2020/07/12 15:04:56
Lewis County,2020-03-15,1,0,0,0,0,1,0,2020/07/12 15:04:56
Lewis County,2020-03-22,1,0,0,0,0,1,0,2020/07/12 15:04:56
Lewis County,2020-04-05,1,0,0,0,1,0,0,2020/07/12 15:04:56
Mason County,2020-04-12,1,0,0,0,1,0,0,2020/07/12 15:04:56
Okanogan County,2020-03-22,1,0,0,0,1,0,0,2020/07/12 15:04:56
Okanogan County,2020-04-12,1,0,0,1,0,0,0,2020/07/12 15:04:56
Pacific County,2020-03-29,1,0,0,0,1,0,0,2020/07/12 15:04:56
Pierce County,2020-03-01,2,0,0,1,1,0,0,2020/07/12 15:04:56
Pierce County,2020-03-08,4,0,0,0,2,2,0,2020/07/12 15:04:56
Pierce County,2020-03-15,8,0,1,0,5,2,0,2020/07/12 15:04:56
Pierce County,2020-03-22,10,0,0,0,7,3,0,2020/07/12 15:04:56
Pierce County,2020-03-29,20,0,0,2,7,11,0,2020/07/12 15:04:56
Pierce County,2020-04-05,10,0,0,0,5,5,0,2020/07/12 15:04:56
Pierce County,2020-04-12,13,0,0,1,7,5,0,2020/07/12 15:04:56
Pierce County,2020-04-19,12,0,0,2,4,6,0,2020/07/12 15:04:56
Pierce County,2020-04-26,4,0,1,0,2,1,0,2020/07/12 15:04:56
Pierce County,2020-05-03,5,0,0,0,2,3,0,2020/07/12 15:04:56
Pierce County,2020-05-10,5,0,0,0,0,5,0,2020/07/12 15:04:56
Pierce County,2020-05-17,2,0,0,0,1,1,0,2020/07/12 15:04:56
Pierce County,2020-05-24,2,0,0,0,0,2,0,2020/07/12 15:04:56
Pierce County,2020-05-31,1,0,0,0,0,1,0,2020/07/12 15:04:56
Pierce County,2020-06-07,1,0,0,0,1,0,0,2020/07/12 15:04:56
Pierce County,2020-06-14,6,0,0,0,3,3,0,2020/07/12 15:04:56
Pierce County,2020-06-21,4,0,0,0,1,3,0,2020/07/12 15:04:56
Pierce County,2020-06-28,4,0,0,0,0,4,0,2020/07/12 15:04:56
Skagit County,2020-03-01,1,0,0,0,0,1,0,2020/07/12 15:04:56
Skagit County,2020-03-08,1,0,0,0,0,1,0,2020/07/12 15:04:56
Skagit County,2020-03-15,1,0,0,0,0,1,0,2020/07/12 15:04:56
Skagit County,2020-03-22,1,0,0,1,0,0,0,2020/07/12 15:04:56
Skagit County,2020-03-29,5,0,0,0,3,2,0,2020/07/12 15:04:56
Skagit County,2020-04-05,1,0,0,1,0,0,0,2020/07/12 15:04:56
Skagit County,2020-04-12,3,0,0,0,2,1,0,2020/07/12 15:04:56
Skagit County,2020-04-19,1,0,0,1,0,0,0,2020/07/12 15:04:56
Skagit County,2020-05-03,1,0,0,0,0,1,0,2020/07/12 15:04:56
Skagit County,2020-06-28,1,0,0,0,0,1,0,2020/07/12 15:04:56
Snohomish County,2020-01-26,1,0,1,0,0,0,0,2020/07/12 15:04:56
Snohomish County,2020-02-16,1,0,0,1,0,0,0,2020/07/12 15:04:56
Snohomish County,2020-02-23,2,0,0,0,1,1,0,2020/07/12 15:04:56
Snohomish County,2020-03-01,17,0,0,3,7,7,0,2020/07/12 15:04:56
Snohomish County,2020-03-08,22,0,0,4,7,11,0,2020/07/12 15:04:56
Snohomish County,2020-03-15,23,0,0,1,13,9,0,2020/07/12 15:04:56
Snohomish County,2020-03-22,17,0,1,2,8,6,0,2020/07/12 15:04:56
Snohomish County,2020-03-29,18,0,0,0,7,11,0,2020/07/12 15:04:56
Snohomish County,2020-04-05,13,0,0,3,6,4,0,2020/07/12 15:04:56
Snohomish County,2020-04-12,9,0,0,1,4,4,0,2020/07/12 15:04:56
Snohomish County,2020-04-19,9,0,0,0,3,6,0,2020/07/12 15:04:56
Snohomish County,2020-04-26,13,0,0,1,3,9,0,2020/07/12 15:04:56
Snohomish County,2020-05-03,4,0,0,1,2,1,0,2020/07/12 15:04:56
Snohomish County,2020-05-10,7,0,0,1,1,5,0,2020/07/12 15:04:56
Snohomish County,2020-05-17,9,0,0,0,4,5,0,2020/07/12 15:04:56
Snohomish County,2020-05-24,2,0,1,0,1,0,0,2020/07/12 15:04:56
Snohomish County,2020-05-31,2,0,1,0,1,0,0,2020/07/12 15:04:56
Snohomish County,2020-06-07,4,0,0,1,1,2,0,2020/07/12 15:04:56
Snohomish County,2020-06-14,3,0,0,0,0,3,0,2020/07/12 15:04:56
Snohomish County,2020-06-21,2,0,0,1,1,0,0,2020/07/12 15:04:56
Snohomish County,2020-06-28,1,0,0,1,0,0,0,2020/07/12 15:04:56
Spokane County,2020-02-23,1,0,0,0,0,1,0,2020/07/12 15:04:56
Spokane County,2020-03-01,1,0,0,1,0,0,0,2020/07/12 15:04:56
Spokane County,2020-03-08,2,0,0,0,2,0,0,2020/07/12 15:04:56
Spokane County,2020-03-15,2,0,0,1,0,1,0,2020/07/12 15:04:56
Spokane County,2020-03-22,9,0,0,0,6,3,0,2020/07/12 15:04:56
Spokane County,2020-03-29,2,0,0,1,0,1,0,2020/07/12 15:04:56
Spokane County,2020-04-05,7,0,0,0,2,5,0,2020/07/12 15:04:56
Spokane County,2020-04-12,4,0,0,0,1,3,0,2020/07/12 15:04:56
Spokane County,2020-04-19,4,0,0,0,2,2,0,2020/07/12 15:04:56
Spokane County,2020-04-26,1,0,0,0,1,0,0,2020/07/12 15:04:56
Spokane County,2020-05-03,1,0,0,0,1,0,0,2020/07/12 15:04:56
Spokane County,2020-05-10,1,0,0,1,0,0,0,2020/07/12 15:04:56
Spokane County,2020-05-17,2,0,0,0,1,1,0,2020/07/12 15:04:56
Spokane County,2020-05-24,1,0,0,0,1,0,0,2020/07/12 15:04:56
Spokane County,2020-05-31,1,0,0,1,0,0,0,2020/07/12 15:04:56
Spokane County,2020-06-07,1,0,1,0,0,0,0,2020/07/12 15:04:56
Spokane County,2020-06-14,1,0,0,0,0,1,0,2020/07/12 15:04:56
Spokane County,2020-06-21,2,0,0,0,2,0,0,2020/07/12 15:04:56
Stevens County,2020-03-22,1,0,0,0,1,0,0,2020/07/12 15:04:56
Thurston County,2020-03-08,1,0,0,0,0,1,0,2020/07/12 15:04:56
Thurston County,2020-05-24,2,0,0,0,0,2,0,2020/07/12 15:04:56
Thurston County,2020-05-31,2,0,0,0,0,2,0,2020/07/12 15:04:56
Thurston County,2020-06-07,2,0,0,0,1,1,0,2020/07/12 15:04:56
Thurston County,2020-06-14,1,0,0,0,1,0,0,2020/07/12 15:04:56
Walla Walla County,2020-04-05,1,0,0,0,1,0,0,2020/07/12 15:04:56
Walla Walla County,2020-04-12,1,0,0,1,0,0,0,2020/07/12 15:04:56
Walla Walla County,2020-04-19,1,0,0,0,1,0,0,2020/07/12 15:04:56
Whatcom County,2020-03-08,3,0,0,0,1,2,0,2020/07/12 15:04:56
Whatcom County,2020-03-15,12,0,0,0,4,8,0,2020/07/12 15:04:56
Whatcom County,2020-03-22,11,0,0,0,2,9,0,2020/07/12 15:04:56
Whatcom County,2020-03-29,7,0,0,0,0,7,0,2020/07/12 15:04:56
Whatcom County,2020-04-05,3,0,0,0,1,2,0,2020/07/12 15:04:56
Whatcom County,2020-04-12,1,0,0,0,0,1,0,2020/07/12 15:04:56
Whatcom County,2020-04-26,2,0,0,1,0,1,0,2020/07/12 15:04:56
Whatcom County,2020-05-03,1,0,0,0,0,1,0,2020/07/12 15:04:56
Whatcom County,2020-05-17,1,0,0,0,0,1,0,2020/07/12 15:04:56
Yakima County,2020-03-08,1,0,0,0,1,0,0,2020/07/12 15:04:56
Yakima County,2020-03-15,2,0,1,0,0,1,0,2020/07/12 15:04:56
Yakima County,2020-03-22,19,0,0,1,5,13,0,2020/07/12 15:04:56
Yakima County,2020-03-29,13,0,0,2,7,4,0,2020/07/12 15:04:56
Yakima County,2020-04-05,17,0,0,3,8,6,0,2020/07/12 15:04:56
Yakima County,2020-04-12,10,0,0,2,5,3,0,2020/07/12 15:04:56
Yakima County,2020-04-19,10,0,0,0,4,6,0,2020/07/12 15:04:56
Yakima County,2020-04-26,15,0,1,0,7,7,0,2020/07/12 15:04:56
Yakima County,2020-05-03,14,0,0,1,5,8,0,2020/07/12 15:04:56
Yakima County,2020-05-10,12,0,0,3,6,3,0,2020/07/12 15:04:56
Yakima County,2020-05-17,6,0,0,2,4,0,0,2020/07/12 15:04:56
Yakima County,2020-05-24,10,0,0,2,5,3,0,2020/07/12 15:04:56
Yakima County,2020-05-31,8,0,1,1,4,2,0,2020/07/12 15:04:56
Yakima County,2020-06-07,26,0,1,4,6,15,0,2020/07/12 15:04:56
Yakima County,2020-06-14,11,0,0,2,5,4,0,2020/07/12 15:04:56
Yakima County,2020-06-21,10,0,0,0,2,8,0,2020/07/12 15:04:56
Yakima County,2020-06-28,5,0,0,0,1,4,0,2020/07/12 15:04:56
Yakima County,2020-07-05,1,0,0,0,0,1,0,2020/07/12 15:04:56
Unassigned,2020-06-28,1,0,0,0,0,1,0,2020/07/12 15:04:56
